Channel,Order_Status,Product,Order_Type,New_Delivery_Type,Created_Month,Completed_Month,Order_Manager,Project_Order,On_Time,CT_Ex_Delayed_Days,LT_Tgt,SLT_Status,On_Time_Tgt,Cycle_Time_Tgt,Parked_Tgt,Backlog_Tgt,Age_Status,Project,Country
Business,In Progress, Internet Connect,New,International,01/04/2019,N/A,DJEMAIM,TRUE,N/A,0,100,N/A,0.95,0.94,0.09,0.03,BAU,BAU,France
Business,In Progress, Internet Connect,New,International,01/04/2019,N/A,DJEMAIM,TRUE,N/A,0,100,N/A,0.95,0.94,0.09,0.03,Backlog,BAU,France
Carrier,Completed, Etherflow,SD Upgrade/Downgrade,Quick Connect,01/04/2019,01/04/2019,DUFFYM,FALSE,On-Time,2,15,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, Internet Connect,New,International,01/04/2019,01/09/2019,DJEMAIM,TRUE,Late,119,100,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,3,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,2,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,2,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,2,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, DSL/ IP Connect Ireland -Bitstream,Cancellation,Cancellation Domestic 3rd Party,01/04/2019,01/04/2019,DRIVERI,FALSE,On-Time,2,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Private Line National,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,2,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, MPLS,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,8,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, MPLS,Cancellation,Cancellation Domestic,01/04/2019,01/05/2019,CORCORC3,FALSE,On-Time,21,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, xDSL / MPLS,Cancellation,Cancellation International,01/04/2019,01/05/2019,DRIVERI,FALSE,Late,25,40,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, MPLS,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,3,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Private Line International,Cancellation,Cancellation Domestic,01/04/2019,01/04/2019,CORCORC3,FALSE,On-Time,18,15,Fail,0.95,0.94,0.09,0.03,Completed,BAU,France
Carrier,Completed, Etherflow/IP,New,3rd Party Standard,01/04/2019,01/07/2019,SMARTTEM,FALSE,On-Time,43,50,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
Business,Completed, One Voice Global SIP,New,International,01/04/2019,01/04/2019,COATESL,FALSE,On-Time,14,100,Pass,0.95,0.94,0.09,0.03,Completed,BAU,France
