Order-ref,Channel,Order_Status,Product,Order_Type,New_Delivery_Type,Priority_Order,OCD,ODD,CHD,Parked_Status,Overall_Parked_Days,SRF_REF,Order_Manager,Circuit_Class_Type,Project_Order,On_Time,CT_Ex_Delayed_Days,LT_Tgt,SLT_Status,SLT_Exclusion,Per_Day_€,RFT_Exclusion,CHD_Period,CHD_Week,CHD_Month,CHD_FQ,CHD_FY,Order_In Backlog,Age_Status,Aged_Status,OCD_Period,OCD_Week,OCD_FQ,OCD_FY,ODD_Period,ODD_Week,ODD_FQ,ODD_FY,Group,Group_Manager,On_Time_Tgt,Cycle_Time_Tgt,Parked_Tgt,Backlog_Tgt
ref_876666454,Business,In Progress, IP Connect GLOBAL,New,International,P3,18/04/2019,14/10/2019,,,0,,RYANC9,International,FALSE, ,,100,,,123.7808,FALSE,,,,,,BAU ,BAU,BAU,P 01,19/04/2019,1,2019-2020,P 07,18/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876666836,Business,In Progress, IP Connect GLOBAL,New,International,P3,18/04/2019,14/10/2019,,,,,RYANC9,International,FALSE, ,,100,,,93.6986,FALSE,,,,,,BAU ,BAU,BAU,P 01,19/04/2019,1,2019-2020,P 07,18/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876683431,Carrier,Parked, Etherflow Internet Connect Global,New,3rd Party Standard,P4,17/04/2019,07/10/2019,,Y,30,,SMARTTEM,Domestic,FALSE, ,,50,,,16.1316,FALSE,,,,,,BAU ,BAU Parked,Parked,P 01,19/04/2019,1,2019-2020,P 07,11/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_876800671,Business,Parked, Carrier Services Private Line National,New,3rd Party Standard,P4,24/04/2019,19/07/2019,,Y,72,,HEJLOVS,Domestic,FALSE, ,,50,,,34.2467,FALSE,,,,,,Backlog,BAU Parked,Parked,P 01,26/04/2019,1,2019-2020,P 04,19/07/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876945560,Business,Parked, One Voice Global SIP,SD Upgrade/Downgrade,International,P4,25/04/2019,30/08/2019,,Y,36,,COATESL,International,FALSE, ,,100,,,,FALSE,,,,,,Backlog,BAU Parked,Parked,P 01,26/04/2019,1,2019-2020,P 05,30/08/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_876946075,Business,Parked, One Voice Global SIP,SD Upgrade/Downgrade,Standard Global,P4,25/04/2019,01/08/2019,,Y,56,,COATESL,Domestic,FALSE, ,,25,,,,FALSE,,,,,,Backlog,BAU Parked,Parked,P 01,26/04/2019,1,2019-2020,P 05,02/08/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877003111,Business,Parked, Carrier Services Private Line National,New,3rd Party Standard,P4,24/04/2019,26/07/2019,,Y,69,,HEJLOVS,Domestic,FALSE, ,,50,,,34.2467,FALSE,,,,,,Backlog,BAU Parked,Parked,P 01,26/04/2019,1,2019-2020,P 04,26/07/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877011212,Business,In Progress, Internet Connect,New,International,P3,24/04/2019,06/11/2019,,,0,,RYANC9,International,TRUE, ,,100,,,15.5589,FALSE,,,,,,BAU ,BAU,BAU,P 01,26/04/2019,1,2019-2020,P 08,08/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877055540,Business,Parked, MPLS,New,International,P4,25/04/2019,13/09/2019,,Y,49,,COATESL,International,TRUE, ,,100,,,24.3288,FALSE,,,,,,Backlog,Project Parked,Parked,P 01,26/04/2019,1,2019-2020,P 06,13/09/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877074414,Business,Cease In Progress, Etherway,Cancellation,Cancellation Domestic,P3,25/04/2019,30/09/2019,01/07/2019,,,,LYONSR3,Internal,FALSE,On-Time,,15,Pass,Yes,,FALSE,P 04,05/07/2019,,2,2019-2020,BAU ,BAU,BAU,P 01,26/04/2019,1,2019-2020,P 06,04/10/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877118978,Business,In Progress, IP Connect GLOBAL,New,International,P3,29/04/2019,29/10/2019,,,,,DJEMAIM,International,TRUE, ,,100,N/A,,45.2433,TRUE,,,,,,BAU ,BAU,BAU,P 01,03/05/2019,1,2019-2020,P 07,01/11/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877364390,Carrier,In Progress, Etherflow,SD Upgrade/Downgrade,Standard Domestic,P3,01/05/2019,22/10/2019,,,19.0548,CEDRIC,MCDONNM6,Domestic,TRUE, ,,25,,,,FALSE,,,,,,BAU ,BAU,BAU,P 02,03/05/2019,1,2019-2020,P 07,25/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877364638,Carrier,In Progress, Etherflow,SD Upgrade/Downgrade,Standard Domestic,P3,01/05/2019,14/10/2019,,,12.0284,CEDRIC,MCDONNM6,Domestic,TRUE, ,,25,,,,FALSE,,,,,,BAU ,BAU,BAU,P 02,03/05/2019,1,2019-2020,P 07,18/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877380591,Carrier,In Progress, Etherflow/MPLS,New,3rd Party Standard,P3,08/05/2019,11/10/2019,,,0,,SMARTTEM,Domestic,FALSE, ,,50,,,36.3288,FALSE,,,,,,BAU ,BAU,BAU,P 02,10/05/2019,1,2019-2020,P 07,11/10/2019,3,2019-2020,,,0.95,0.94,0.09,0.03
ref_877381031,Carrier,In Progress, Etherflow/MPLS,New,3rd Party Standard,P3,13/05/2019,24/09/2019,,,0,,SMARTTEM,Domestic,FALSE, ,,50,,,23.2793,FALSE,,,,,,Backlog,Backlog,BAU,P 02,17/05/2019,1,2019-2020,P 06,27/09/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
ref_877399173,Business,Parked, MPLS,New,International,P4,02/05/2019,22/08/2019,,Y,37,,BRADYA,International,TRUE, ,,100,,,11.0137,FALSE,,,,,,Backlog,Project Parked,Parked,P 02,03/05/2019,1,2019-2020,P 05,23/08/2019,2,2019-2020,,,0.95,0.94,0.09,0.03
